First Name,Last Name,Email,is_current,Sport 1,Sport 2,UFID,VALD ID,Catapult ID
Sarah,Gemma,s.gemma@ufl.edu,TRUE,Basketball,,31607378,,03e10c6e-fce8-44ea-b83d-32d6bbff6339
Celeste,Wilkins,celeste.wilkins@ufl.edu,TRUE,Basketball,,84677404,,08ce84d8-54d7-413e-afee-11c3524dc02c
Tabitha,Archibald,tabitha.archibald@ufl.edu,TRUE,Soccer,,96700295,,0f529ae8-e286-41d7-bb64-1e24de27f857
Laurita,Carvallo,l.carvallo@ufl.edu,TRUE,Soccer,,16320050,,0f5da3a5-af3e-45bd-a8c1-aabf5fc1b62a
Stephanie,Lockwood,stephanie.lockwood@ufl.edu,TRUE,Soccer,,28305466,,12c654e0-6b2e-4d97-9257-7e5128996dc1
Lorena,Pagani,l.pagani@ufl.edu,TRUE,Soccer,,89469567,,13ac9c28-d8f3-4572-b58a-d214af92cfd2
Ella,Richardson,ella.richardson@ufl.edu,TRUE,Track and Field,,46835886,ef069ac4-febb-42ef-8aa2-d6890818a77f,
Sarah,Hunt,sarah.hunt@ufl.edu,TRUE,Soccer,,69991321,77f96b7d-1c16-4d33-ac23-0514d6a4f934,
Stacy,Ardmore,s.ardmore@ufl.edu,TRUE,Soccer,,23475685,20befb4a-7e37-4ba4-9f72-2107949d8d8a,
Zacherina,Smith,z.smith@ufl.edu,TRUE,Women's Golf,,83319481,ef08547a-4dd6-4342-9e3f-bb042e7e2e20,
